InstrumentName,ShortName,ExchangeCode,QtyLimit
OPTIDX,CNXBAN,NIFTY BANK,900
OPTIDX,NIFFIN,NIFTY FINANCIAL,1800
OPTIDX,NIFNEX,NIFTY NEXT 50,600
OPTIDX,NIFSEL,NIFTY MIDCAP,2800
OPTIDX,NIFTY,NIFTY 50,1800
OPTSTK,AARIND,AARTIIND,60000
OPTSTK,ABB,ABB,3750
OPTSTK,ACC,ACC,12000
OPTSTK,ADAENT,ADANIENT,12000
OPTSTK,ADAGAS,ATGL,38750
OPTSTK,ADAGRE,ADANIGREEN,22500
OPTSTK,ADAPOR,ADANIPORTS,20000
OPTSTK,ADATRA,ADANIENSOL,25000
OPTSTK,ADICAP,ABCAPITAL,135000
OPTSTK,ADIFAS,ABFRL,104000
OPTSTK,ALKLAB,ALKEM,5000
OPTSTK,AMBCE,AMBUJACEM,45000
OPTSTK,ANGBRO,ANGELONE,10000
OPTSTK,APLAPO,APLAPOLLO,17500
OPTSTK,APOHOS,APOLLOHOSP,3750
OPTSTK,APOTYR,APOLLOTYRE,51000
OPTSTK,ASHLEY,ASHOKLEY,100000
OPTSTK,ASIPAI,ASIANPAINT,10000
OPTSTK,ASTPOL,ASTRAL,18350
OPTSTK,AURPHA,AUROPHARMA,22000
OPTSTK,AUSMA,AUBANK,40000
OPTSTK,AVESUP,DMART,6000
OPTSTK,AXIBAN,AXISBANK,25000
OPTSTK,BAAUTO,BAJAJ-AUTO,3000
OPTSTK,BAFINS,BAJAJFINSV,15000
OPTSTK,BAJFI,BAJFINANCE,2500
OPTSTK,BALIND,BALKRISIND,9000
OPTSTK,BANBAN,BANDHANBNK,168000
OPTSTK,BANBAR,BANKBARODA,117000
OPTSTK,BANIND,BANKINDIA,241250
OPTSTK,BHAAIR,BHARTIARTL,14250
OPTSTK,BHAELE,BEL,85500
OPTSTK,BHAFOR,BHARATFORG,20000
OPTSTK,BHAINF,INDUSTOWER,68000
OPTSTK,BHAPET,BPCL,90000
OPTSTK,BHEL,BHEL,105000
OPTSTK,BIOCON,BIOCON,75000
OPTSTK,BOSLIM,BOSCHLTD,1000
OPTSTK,BRIIND,BRITANNIA,5000
OPTSTK,BSE,BSE,3750
OPTSTK,CADHEA,ZYDUSLIFE,27000
OPTSTK,CANBAN,CANBK,270000
OPTSTK,CDSL,CDSL,17500
OPTSTK,CESC,CESC,146250
OPTSTK,CHAFER,CHAMBLFERT,38000
OPTSTK,CHOINV,CHOLAFIN,18750
OPTSTK,CIPLA,CIPLA,16250
OPTSTK,COALIN,COALINDIA,63000
OPTSTK,COLPAL,COLPAL,8750
OPTSTK,COMAGE,CAMS,6250
OPTSTK,CONCOR,CONCOR,30000
OPTSTK,CROGR,CROMPTON,72000
OPTSTK,CROGRE,CGPOWER,36250
OPTSTK,CUMIND,CUMMINSIND,7500
OPTSTK,CYILIM,CYIENT,18000
OPTSTK,DABIND,DABUR,50000
OPTSTK,DEENIT,DEEPAKNTR,12000
OPTSTK,DELLIM,DELHIVERY,91500
OPTSTK,DIVLAB,DIVISLAB,4000
OPTSTK,DIXTEC,DIXON,1500
OPTSTK,DLFLIM,DLF,33000
OPTSTK,DRREDD,DRREDDY,18750
OPTSTK,EICMOT,EICHERMOT,5250
OPTSTK,ESCORT,ESCORTS,7500
OPTSTK,EXIIND,EXIDEIND,72000
OPTSTK,FEDBAN,FEDERALBNK,150000
OPTSTK,FSNECO,NYKAA,147500
OPTSTK,GAIL,GAIL,141000
OPTSTK,GLEPHA,GLENMARK,16250
OPTSTK,GMRINF,GMRAIRPORT,281250
OPTSTK,GODCON,GODREJCP,20000
OPTSTK,GODPRO,GODREJPROP,11250
OPTSTK,GRANUL,GRANULES,40000
OPTSTK,GRASIM,GRASIM,10000
OPTSTK,HAVIND,HAVELLS,15000
OPTSTK,HCLTEC,HCLTECH,14000
OPTSTK,HDFAMC,HDFCAMC,6000
OPTSTK,HDFBAN,HDFCBANK,16500
OPTSTK,HDFSTA,HDFCLIFE,33000
OPTSTK,HERHON,HEROMOTOCO,6000
OPTSTK,HIMFUT,HFCL,249000
OPTSTK,HINAER,HAL,6000
OPTSTK,HINCOP,HINDCOPPER,106000
OPTSTK,HINDAL,HINDALCO,42000
OPTSTK,HINLEV,HINDUNILVR,12000
OPTSTK,HINPET,HINDPETRO,60750
OPTSTK,HINZIN,HINDZINC,49000
OPTSTK,HUDCO,HUDCO,121250
OPTSTK,ICIBAN,ICICIBANK,21000
OPTSTK,ICILOM,ICICIGI,12500
OPTSTK,ICIPRU,ICICIPRULI,37500
OPTSTK,IDECEL,IDEA,1600000
OPTSTK,IDFBAN,IDFCFIRSTB,375000
OPTSTK,IIFHOL,IIFL,77500
OPTSTK,INDBA,INDUSINDBK,25000
OPTSTK,INDEN,IEX,150000
OPTSTK,INDGAS,IGL,110000
OPTSTK,INDHOT,INDHOTEL,30000
OPTSTK,INDIBA,INDIANB,47500
OPTSTK,INDOIL,IOC,195000
OPTSTK,INDR,IRFC,176250
OPTSTK,INDRAI,IRCTC,35000
OPTSTK,INDREN,IREDA,145000
OPTSTK,INFEDG,NAUKRI,3000
OPTSTK,INFTEC,INFY,12000
OPTSTK,INOWIN,INOXWIND,161250
OPTSTK,INTAVI,INDIGO,4500
OPTSTK,IRBINF,IRB,512500
OPTSTK,ITC,ITC,64000
OPTSTK,JINSP,JINDALSTEL,25000
OPTSTK,JINSTA,JSL,38750
OPTSTK,JIOFIN,JIOFIN,99000
OPTSTK,JSWENE,JSWENERGY,37500
OPTSTK,JSWSTE,JSWSTEEL,20250
OPTSTK,JUBFOO,JUBLFOOD,37500
OPTSTK,KALJEW,KALYANKJIL,46500
OPTSTK,KEIIND,KEI,7500
OPTSTK,KOTMAH,KOTAKBANK,12000
OPTSTK,KPITE,KPITTECH,16000
OPTSTK,KPITEC,BSOFT,50000
OPTSTK,LARTOU,LT,6000
OPTSTK,LAULAB,LAURUSLABS,51000
OPTSTK,LIC,LICI,28750
OPTSTK,LICHF,LICHSGFIN,40000
OPTSTK,LTFINA,LTF,178480
OPTSTK,LTINFO,LTIM,4500
OPTSTK,LUPIN,LUPIN,12750
OPTSTK,MACDEV,LODHA,18000
OPTSTK,MAGFI,POONAWALLA,72500
OPTSTK,MAHFIN,M&MFIN,80000
OPTSTK,MAHGAS,MGL,16000
OPTSTK,MAHMAH,M&M,8750
OPTSTK,MANAFI,MANAPPURAM,90000
OPTSTK,MARLIM,MARICO,36000
OPTSTK,MARUTI,MARUTI,2000
OPTSTK,MAXFIN,MFSL,24000
OPTSTK,MAXHEA,MAXHEALTH,21000
OPTSTK,MCX,MCX,4000
OPTSTK,MOTSUM,MOTHERSON,177500
OPTSTK,MPHLIM,MPHASIS,11000
OPTSTK,MRFTYR,MRF,200
OPTSTK,MUTFIN,MUTHOOTFIN,11000
OPTSTK,NAGCON,NCC,106500
OPTSTK,NATALU,NATIONALUM,112500
OPTSTK,NATMIN,NMDC,405000
OPTSTK,NBCC,NBCC,290000
OPTSTK,NESIND,NESTLEIND,10000
OPTSTK,NHPC,NHPC,320000
OPTSTK,NIITEC,COFORGE,3000
OPTSTK,NTPC,NTPC,60000
OPTSTK,OBEREA,OBEROIRLTY,14000
OPTSTK,ODICEM,DALBHARAT,13750
OPTSTK,OILIND,OIL,64500
OPTSTK,ONE97,PAYTM,32500
OPTSTK,ONGC,ONGC,96250
OPTSTK,ORAFIN,OFSS,2500
OPTSTK,PAGIND,PAGEIND,600
OPTSTK,PBFINT,POLICYBZR,13000
OPTSTK,PERSYS,PERSISTENT,4000
OPTSTK,PETLNG,PETRONET,75000
OPTSTK,PHOMIL,PHOENIXLTD,14000
OPTSTK,PIDIND,PIDILITIND,10000
OPTSTK,PIIND,PIIND,6250
OPTSTK,PIRENT,PEL,22500
OPTSTK,PNBHOU,PNBHOUSING,26000
OPTSTK,POLI,POLYCAB,5000
OPTSTK,POWFIN,PFC,52000
OPTSTK,POWGRI,POWERGRID,90000
OPTSTK,PREEST,PRESTIGE,19500
OPTSTK,PUNBAN,PNB,240000
OPTSTK,RAMCEM,RAMCOCEM,25500
OPTSTK,RBLBAN,RBLBANK,125000
OPTSTK,RELIND,RELIANCE,20000
OPTSTK,RUCSOY,PATANJALI,15000
OPTSTK,RURELE,RECLTD,50000
OPTSTK,SAIL,SAIL,200000
OPTSTK,SBICAR,SBICARD,32000
OPTSTK,SBILIF,SBILIFE,15000
OPTSTK,SHRCEM,SHREECEM,750
OPTSTK,SHRTRA,SHRIRAMFIN,37500
OPTSTK,SIEMEN,SIEMENS,4500
OPTSTK,SJVLIM,SJVN,236250
OPTSTK,SOLIN,SOLARINDS,2250
OPTSTK,SONBLW,SONACOMS,46500
OPTSTK,SRF,SRF,7500
OPTSTK,STABAN,SBIN,30000
OPTSTK,SUNPHA,SUNPHARMA,14000
OPTSTK,SUPIND,SUPREMEIND,6250
OPTSTK,SYNINT,SYNGENE,30000
OPTSTK,TATCHE,TATACHEM,27500
OPTSTK,TATCOM,TATACOMM,15000
OPTSTK,TATELX,TATAELXSI,4000
OPTSTK,TATGLO,TATACONSUM,22800
OPTSTK,TATMOT,TATAMOTORS,33000
OPTSTK,TATPOW,TATAPOWER,67500
OPTSTK,TATSTE,TATASTEEL,165000
OPTSTK,TATTEC,TATATECH,35000
OPTSTK,TCS,TCS,5250
OPTSTK,TECMAH,TECHM,18000
OPTSTK,TITIND,TITAN,7000
OPTSTK,TITWAG,TITAGARH,31250
OPTSTK,TORPHA,TORNTPHARM,7500
OPTSTK,TORPOW,TORNTPOWER,15000
OPTSTK,TRENT,TRENT,4000
OPTSTK,TUBIN,TIINDIA,7500
OPTSTK,TVSMOT,TVSMOTOR,10500
OPTSTK,ULTCEM,ULTRACEMCO,2000
OPTSTK,UNIBAN,UNIONBANK,177000
OPTSTK,UNIP,UPL,40650
OPTSTK,UNISPI,UNITDSPR,17500
OPTSTK,VARBEV,VBL,43750
OPTSTK,VEDLIM,VEDL,46000
OPTSTK,VOLTAS,VOLTAS,15000
OPTSTK,WIPRO,WIPRO,90000
OPTSTK,YESBAN,YESBANK,1300000
