InstrumentName,ShortName,ExchangeCode,QtyLimit
OPTIDX,CNXBAN,NIFTY BANK,901
OPTIDX,NIFFIN,NIFTY FINANCIAL,1801
OPTIDX,NIFNEX,NIFTY NEXT 50,601
OPTIDX,NIFSEL,NIFTY MIDCAP,2801
OPTIDX,NIFTY,NIFTY 50,1801
OPTSTK,AARIND,AARTIIND,60001
OPTSTK,ABB,ABB,3751
OPTSTK,ACC,ACC,12001
OPTSTK,ADAENT,ADANIENT,12001
OPTSTK,ADAGAS,ATGL,38751
OPTSTK,ADAGRE,ADANIGREEN,22501
OPTSTK,ADAPOR,ADANIPORTS,20001
OPTSTK,ADATRA,ADANIENSOL,25001
OPTSTK,ADICAP,ABCAPITAL,135001
OPTSTK,ADIFAS,ABFRL,104001
OPTSTK,ALKLAB,ALKEM,5001
OPTSTK,AMBCE,AMBUJACEM,45001
OPTSTK,ANGBRO,ANGELONE,10001
OPTSTK,APLAPO,APLAPOLLO,17501
OPTSTK,APOHOS,APOLLOHOSP,3751
OPTSTK,APOTYR,APOLLOTYRE,51001
OPTSTK,ASHLEY,ASHOKLEY,100001
OPTSTK,ASIPAI,ASIANPAINT,10001
OPTSTK,ASTPOL,ASTRAL,18351
OPTSTK,AURPHA,AUROPHARMA,22001
OPTSTK,AUSMA,AUBANK,40001
OPTSTK,AVESUP,DMART,6001
OPTSTK,AXIBAN,AXISBANK,25001
OPTSTK,BAAUTO,BAJAJ-AUTO,3001
OPTSTK,BAFINS,BAJAJFINSV,15001
OPTSTK,BAJFI,BAJFINANCE,2501
OPTSTK,BALIND,BALKRISIND,9001
OPTSTK,BANBAN,BANDHANBNK,168001
OPTSTK,BANBAR,BANKBARODA,117001
OPTSTK,BANIND,BANKINDIA,241251
OPTSTK,BERPAI,BERGEPAINT,#N/A
OPTSTK,BHAAIR,BHARTIARTL,14251
OPTSTK,BHAELE,BEL,85501
OPTSTK,BHAFOR,BHARATFORG,20001
OPTSTK,BHAINF,INDUSTOWER,68001
OPTSTK,BHAPET,BPCL,90001
OPTSTK,BHEL,BHEL,105001
OPTSTK,BIOCON,BIOCON,75001
OPTSTK,BOSLIM,BOSCHLTD,1001
OPTSTK,BRIIND,BRITANNIA,5001
OPTSTK,BSE,BSE,3751
OPTSTK,CADHEA,ZYDUSLIFE,27001
OPTSTK,CANBAN,CANBK,270001
