TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,FO,NSE,STO,83443,,ADANIENSOL,,2026-06-30,2026-06-30,1200.00,CE,ADANIENSOL26JUN1200CE,0.00,0.00,0.00,332.00,332.00,332.00,1507.90,308.95,135675,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,65783,,ADANIENSOL,,2026-06-30,2026-06-30,1340.00,PE,ADANIENSOL26JUN1340PE,1.20,1.30,0.80,0.95,0.80,1.35,1507.90,0.95,67500,-1350,54,48880968.75,51,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,35365,,ADANIENSOL,,2026-06-30,2026-06-30,1320.00,PE,ADANIENSOL26JUN1320PE,1.20,1.25,0.95,1.10,1.10,1.30,1507.90,1.10,37800,-675,36,32103337.50,21,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67399,,ADANIENSOL,,2026-08-25,2026-08-25,1560.00,CE,ADANIENSOL26AUG1560CE,0.00,0.00,0.00,129.50,0.00,129.50,1507.90,117.30,0,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67401,,ADANIENSOL,,2026-08-25,2026-08-25,1600.00,CE,ADANIENSOL26AUG1600CE,0.00,0.00,0.00,115.40,0.00,115.40,1507.90,101.75,0,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,83442,,ADANIENSOL,,2026-06-30,2026-06-30,1160.00,PE,ADANIENSOL26JUN1160PE,0.30,0.30,0.30,0.30,0.30,0.55,1507.90,0.00,46575,0,2,1566405.00,1,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,83452,,ADANIENSOL,,2026-06-30,2026-06-30,1360.00,PE,ADANIENSOL26JUN1360PE,0.75,1.40,0.75,1.25,1.25,2.00,1507.90,1.90,58725,-4725,33,30320763.75,31,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,58541,,ADANIENSOL,,2026-06-30,2026-06-30,1720.00,PE,ADANIENSOL26JUN1720PE,0.00,0.00,0.00,224.25,224.25,224.25,1507.90,211.40,2025,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67384,,ADANIENSOL,,2026-08-25,2026-08-25,1320.00,PE,ADANIENSOL26AUG1320PE,0.00,0.00,0.00,83.05,0.00,83.05,1507.90,47.80,0,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67329,,ADANIENSOL,,2026-07-28,2026-07-28,1660.00,CE,ADANIENSOL26JUL1660CE,35.00,35.00,34.60,34.60,34.60,35.00,1507.90,46.35,6750,6075,9,10296213.75,7,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67373,,ADANIENSOL,,2026-08-25,2026-08-25,1240.00,CE,ADANIENSOL26AUG1240CE,0.00,0.00,0.00,297.75,0.00,297.75,1507.90,309.70,0,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,49380,,ADANIENSOL,,2026-06-30,2026-06-30,1480.00,CE,ADANIENSOL26JUN1480CE,45.00,60.20,31.80,39.00,31.80,38.15,1507.90,39.00,92475,-69525,145,149721817.50,104,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,65818,,ADANIENSOL,,2026-07-28,2026-07-28,1240.00,CE,ADANIENSOL26JUL1240CE,0.00,0.00,0.00,275.00,275.00,275.00,1507.90,286.70,675,0,0,0.00,0,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,67317,,ADANIENSOL,,2026-07-28,2026-07-28,1500.00,CE,ADANIENSOL26JUL1500CE,94.00,110.10,89.30,93.10,93.60,92.80,1507.90,93.10,279450,57375,205,221302833.75,134,F1,675,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,65819,,ADANIENSOL,,2026-07-28,2026-07-28,1240.00,PE,ADANIENSOL26JUL1240PE,0.00,0.00,0.00,13.10,13.10,13.10,1507.90,11.40,4050,0,0,0.00,0,F1,675,,,,,
