"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"57553","FUTSTK","TRENT","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",5415700,0,100,50,"TRENT LTD","","","","",4718.5,5767,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",524250,"TRENT"
"57554","FUTSTK","TVSMOT","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",7928550,0,350,10,"TVS MOTOR COMPANY LIMITED","","","","",2536.6,3100.3,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",281840,"TVSMOTOR"
"57555","FUTSTK","ULTCEM","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",3344150,0,50,100,"ULTRATECH CEMENT LIMITED","","","","",10955,13390,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",1217200,"ULTRACEMCO"
"57556","FUTSTK","UNIBAN","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",59295000,0,4425,1,"UNION BANK OF INDIA","","","","",116.4,142.26,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",12933,"UNIONBANK"
"57557","FUTSTK","UNISPI","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",10266200,0,350,10,"UNITED SPIRITS LIMITED","","","","",1404.9,1717.1,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",156100,"UNITDSPR"
"57558","FUTSTK","UNIP","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",26094590,0,1355,5,"UPL LIMITED","","","","",612.65,748.8,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",68070,"UPL"
"57559","FUTSTK","VARBEV","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",34600125,0,875,5,"VARUN BEVERAGES LIMITED","","","","",482.05,589.2,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",53560,"VBL"
"57560","FUTSTK","VEDLIM","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",76452000,0,1150,5,"VEDANTA LIMITED","","","","",376.2,459.8,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",41800,"VEDL"
"57561","FUTSTK","VOLTAS","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",12164100,0,300,10,"VOLTAS LTD","","","","",1128.8,1379.7,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",125420,"VOLTAS"
"57562","FUTSTK","WIPRO","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",95010000,0,3000,5,"WIPRO LTD","","","","",217.5,265.85,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",24165,"WIPRO"
"57563","FUTSTK","YESBAN","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",447928000,0,26000,1,"YES BANK LIMITED","","","","",16.38,20.02,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",1820,"YESBANK"
"57564","FUTSTK","ZOMLIM","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",180616000,0,2000,1,"ETERNAL LIMITED","","","","",205.35,250.99,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",22817,"ETERNAL"
"57565","FUTSTK","CADHEA","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",9585000,0,900,5,"ZYDUS LIFESCIENCES LIMITED","","","","",802.8,981.2,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",89200,"ZYDUSLIFE"
"57451","FUTSTK","MRFTYR","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",57965,0,5,500,"MRF LTD","","","","",117955,144170,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",13106000,"MRF"
"57462","FUTSTK","MUTFIN","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",3977600,0,275,10,"MUTHOOT FINANCE LIMITED","","","","",1926,2354,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",214000,"MUTHOOTFIN"
"57463","FUTSTK","NATALU","FUTURE","29-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",61537500,0,3750,1,"NATIONAL ALUMINIUM CO LTD","","","","",144.62,176.76,"","","","1-Mon","","","","","","",0,"","",0,0,0,"","","","","","","","NFO","","","","","","","",16069,"NATIONALUM"
